ts,symbol,timeframe,strategy,rsi_period,sma_period,rsi_buy,rsi_sell,total_return_pct,sharpe_ratio,max_drawdown_pct
2025-08-21T13:16:56.699768+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T14:17:54.320405+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T15:04:31.342648+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T15:20:30.565658+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T15:35:30.786104+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T15:50:30.901623+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T16:05:30.955390+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T16:21:29.794367+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T16:36:29.896053+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T16:51:29.920883+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T17:06:29.935313+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T17:22:26.281647+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T17:37:26.337066+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T17:52:26.406451+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T18:07:26.463977+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T18:23:23.993641+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T18:38:24.014015+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T18:53:24.121268+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T19:08:24.228249+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T19:24:20.987582+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T19:39:21.050607+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T19:54:21.134870+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T20:09:21.240571+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T20:25:18.808325+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T20:40:18.914270+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T20:55:18.981865+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T21:10:18.999795+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-21T21:26:15.939000+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T21:41:15.998650+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T21:56:16.070101+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T22:11:16.177127+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T22:27:13.328128+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T22:42:13.434610+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T22:57:13.540392+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T23:12:13.562693+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T23:28:11.682004+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T23:43:11.787817+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-21T23:58:11.894565+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T00:13:11.925887+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T00:29:09.158726+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T00:44:09.264467+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T00:59:09.328191+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T01:14:09.342004+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T01:30:06.998326+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
2025-08-22T01:45:07.105067+00:00,BTCUSDC,15m,rsi_sma,21,15,30,65,1.27,1.1,-1.6
