strategy,macd_short,macd_long,macd_signal,rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std,volume_threshold,capital_final,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_win,avg_loss,timestamp
multi_indicator,12,24,9,14,30,75,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:24.438135
multi_indicator,12,24,9,14,30,75,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:24.329136
multi_indicator,12,24,9,16,25,70,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:25.251186
multi_indicator,12,24,9,16,25,70,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:25.378284
multi_indicator,12,24,9,16,25,75,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:26.212871
multi_indicator,12,24,9,16,25,75,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:26.342023
multi_indicator,12,24,9,14,30,70,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:23.530531
multi_indicator,12,24,9,14,30,70,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:23.423923
multi_indicator,12,24,9,16,30,75,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:28.256489
multi_indicator,12,24,9,16,30,75,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:28.131852
multi_indicator,12,24,9,16,30,70,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:27.136975
multi_indicator,12,24,9,16,30,70,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:27.322817
multi_indicator,12,24,9,14,25,75,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:22.598164
multi_indicator,12,24,9,14,25,75,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:22.494467
multi_indicator,12,24,9,14,25,70,20,2.0,1.2,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:21.752742
multi_indicator,12,24,9,14,25,70,20,2.0,1.0,9774.54,-2.25,-15.909,-2.25,33.33,2.566,15,2.2,-0.86,2025-07-22T21:29:21.646125
