strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,5,10,40,60,9506.09,-4.94,-0.79,-4.94,2025-06-24T10:19:22.914498
rsi_sma,5,10,40,65,9506.09,-4.94,-0.79,-4.94,2025-06-24T10:19:22.979422
rsi_sma,5,10,40,70,9635.44,-3.65,-0.51,-3.7,2025-06-24T10:19:23.042491
rsi_sma,5,10,35,60,9496.81,-5.03,-1.09,-5.03,2025-06-24T10:19:23.105387
rsi_sma,5,10,35,65,9496.81,-5.03,-1.09,-5.03,2025-06-24T10:19:23.168504
rsi_sma,5,10,35,70,9986.76,-0.13,-0.01,-2.57,2025-06-24T10:19:23.231397
rsi_sma,5,10,30,60,9511.13,-4.89,-1.08,-4.89,2025-06-24T10:19:23.294994
rsi_sma,5,10,30,65,9511.13,-4.89,-1.08,-4.89,2025-06-24T10:19:23.362724
rsi_sma,5,10,30,70,9994.25,-0.06,0.0,-2.49,2025-06-24T10:19:23.425930
rsi_sma,5,15,40,60,8790.03,-12.1,-1.31,-12.1,2025-06-24T10:19:23.489302
rsi_sma,5,15,40,65,9433.68,-5.66,-1.06,-5.66,2025-06-24T10:19:23.552810
rsi_sma,5,15,40,70,9576.98,-4.23,-0.9,-4.23,2025-06-24T10:19:23.615885
rsi_sma,5,15,35,60,9355.23,-6.45,-0.86,-7.54,2025-06-24T10:19:23.679145
rsi_sma,5,15,35,65,9727.93,-2.72,-0.82,-3.31,2025-06-24T10:19:23.742237
rsi_sma,5,15,35,70,9875.71,-1.24,-0.6,-1.84,2025-06-24T10:19:23.805464
rsi_sma,5,15,30,60,9373.98,-6.26,-0.86,-7.12,2025-06-24T10:19:23.868599
rsi_sma,5,15,30,65,9740.05,-2.6,-0.8,-2.95,2025-06-24T10:19:23.931851
rsi_sma,5,15,30,70,9888.02,-1.12,-0.56,-1.47,2025-06-24T10:19:23.994867
rsi_sma,5,20,40,60,9595.96,-4.04,-0.73,-4.88,2025-06-24T10:19:24.059180
rsi_sma,5,20,40,65,9978.25,-0.22,-0.02,-4.52,2025-06-24T10:19:24.122036
rsi_sma,5,20,40,70,10129.83,1.3,0.23,-3.07,2025-06-24T10:19:24.185109
rsi_sma,5,20,35,60,9624.97,-3.75,-0.68,-4.87,2025-06-24T10:19:24.248194
rsi_sma,5,20,35,65,10008.41,0.08,0.03,-4.52,2025-06-24T10:19:24.312113
rsi_sma,5,20,35,70,10160.45,1.6,0.29,-3.07,2025-06-24T10:19:24.378267
rsi_sma,5,20,30,60,9631.65,-3.68,-0.69,-4.57,2025-06-24T10:19:24.441335
rsi_sma,5,20,30,65,10007.79,0.08,0.03,-4.29,2025-06-24T10:19:24.504494
rsi_sma,5,20,30,70,10159.82,1.6,0.3,-2.84,2025-06-24T10:19:24.567692
rsi_sma,5,30,40,60,9529.99,-4.7,-1.01,-5.81,2025-06-24T10:19:24.630735
rsi_sma,5,30,40,65,9909.65,-0.9,-0.14,-3.92,2025-06-24T10:19:24.693713
rsi_sma,5,30,40,70,9937.72,-0.62,-0.1,-3.65,2025-06-24T10:19:24.756658
rsi_sma,5,30,35,60,9543.15,-4.57,-0.99,-5.68,2025-06-24T10:19:24.820026
rsi_sma,5,30,35,65,9923.34,-0.77,-0.12,-3.79,2025-06-24T10:19:24.883307
rsi_sma,5,30,35,70,9951.45,-0.49,-0.07,-3.52,2025-06-24T10:19:24.946400
rsi_sma,5,30,30,60,9526.76,-4.73,-1.07,-5.61,2025-06-24T10:19:25.009642
rsi_sma,5,30,30,65,9898.81,-1.01,-0.18,-3.79,2025-06-24T10:19:25.072788
rsi_sma,5,30,30,70,9926.85,-0.73,-0.12,-3.52,2025-06-24T10:19:25.135770
rsi_sma,10,10,40,60,10032.0,0.32,0.07,-2.6,2025-06-24T10:19:25.199023
rsi_sma,10,10,40,65,10342.85,3.43,0.54,-2.27,2025-06-24T10:19:25.262694
rsi_sma,10,10,40,70,10066.8,0.67,0.12,-2.87,2025-06-24T10:19:25.327451
rsi_sma,10,10,35,60,10058.71,0.59,0.69,-0.11,2025-06-24T10:19:25.390809
rsi_sma,10,10,35,65,10177.94,1.78,0.72,-0.11,2025-06-24T10:19:25.454132
rsi_sma,10,10,35,70,9712.96,-2.87,-0.75,-2.87,2025-06-24T10:19:25.517273
rsi_sma,10,10,30,60,10000.0,0.0,0.0,0.0,2025-06-24T10:19:25.582486
rsi_sma,10,10,30,65,10000.0,0.0,0.0,0.0,2025-06-24T10:19:25.645697
rsi_sma,10,10,30,70,10000.0,0.0,0.0,0.0,2025-06-24T10:19:25.708793
rsi_sma,10,15,40,60,9998.47,-0.02,-0.06,-0.08,2025-06-24T10:19:25.771878
rsi_sma,10,15,40,65,9725.98,-2.74,-0.75,-2.74,2025-06-24T10:19:25.835152
rsi_sma,10,15,40,70,9992.5,-0.08,-0.71,-0.08,2025-06-24T10:19:25.899556
