strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,5,10,40,60,9829.48,-1.71,-5.1,-3.2,2025-07-04T09:40:01.660543
rsi_sma,5,10,40,65,9829.48,-1.71,-5.1,-3.2,2025-07-04T09:40:01.715246
rsi_sma,5,10,40,70,9897.95,-1.02,-2.39,-2.56,2025-07-04T09:40:01.765185
rsi_sma,5,10,35,60,9913.59,-0.86,-2.6,-2.37,2025-07-04T09:40:01.816230
rsi_sma,5,10,35,65,9913.59,-0.86,-2.6,-2.37,2025-07-04T09:40:01.864417
rsi_sma,5,10,35,70,9937.71,-0.62,-1.45,-2.16,2025-07-04T09:40:01.912543
rsi_sma,5,10,30,60,9791.65,-2.08,-10.21,-2.47,2025-07-04T09:40:01.961167
rsi_sma,5,10,30,65,9791.65,-2.08,-10.21,-2.47,2025-07-04T09:40:02.013375
rsi_sma,5,10,30,70,9829.09,-1.71,-5.55,-2.12,2025-07-04T09:40:02.061449
rsi_sma,5,15,40,60,9347.49,-6.53,-19.78,-6.79,2025-07-04T09:40:02.113404
rsi_sma,5,15,40,65,9304.38,-6.96,-18.94,-7.22,2025-07-04T09:40:02.167167
rsi_sma,5,15,40,70,9597.31,-4.03,-14.87,-4.75,2025-07-04T09:40:02.217908
rsi_sma,5,15,35,60,9399.81,-6.0,-18.82,-6.63,2025-07-04T09:40:02.265812
rsi_sma,5,15,35,65,9322.42,-6.78,-18.8,-7.4,2025-07-04T09:40:02.313335
rsi_sma,5,15,35,70,9579.3,-4.21,-15.63,-4.84,2025-07-04T09:40:02.360784
rsi_sma,5,15,30,60,9538.29,-4.62,-20.58,-4.71,2025-07-04T09:40:02.408246
rsi_sma,5,15,30,65,9494.01,-5.06,-20.93,-5.16,2025-07-04T09:40:02.455767
rsi_sma,5,15,30,70,9497.0,-5.03,-19.85,-5.13,2025-07-04T09:40:02.503522
rsi_sma,5,20,40,60,9509.49,-4.91,-11.67,-6.45,2025-07-04T09:40:02.550905
rsi_sma,5,20,40,65,9490.4,-5.1,-12.81,-6.33,2025-07-04T09:40:02.602265
rsi_sma,5,20,40,70,9653.73,-3.46,-9.25,-5.66,2025-07-04T09:40:02.649511
rsi_sma,5,20,35,60,9674.96,-3.25,-8.07,-5.1,2025-07-04T09:40:02.696619
rsi_sma,5,20,35,65,9633.87,-3.66,-9.79,-5.19,2025-07-04T09:40:02.744700
rsi_sma,5,20,35,70,9778.82,-2.21,-6.16,-4.51,2025-07-04T09:40:02.791909
rsi_sma,5,20,30,60,9657.91,-3.42,-9.28,-4.13,2025-07-04T09:40:02.842368
rsi_sma,5,20,30,65,9624.21,-3.76,-11.21,-4.15,2025-07-04T09:40:02.889462
rsi_sma,5,20,30,70,9700.36,-3.0,-9.17,-4.12,2025-07-04T09:40:02.936781
rsi_sma,5,30,40,60,9563.05,-4.37,-10.96,-5.7,2025-07-04T09:40:02.984589
rsi_sma,5,30,40,65,9545.1,-4.55,-11.79,-5.72,2025-07-04T09:40:03.032369
rsi_sma,5,30,40,70,9825.23,-1.75,-5.25,-3.87,2025-07-04T09:40:03.079923
rsi_sma,5,30,35,60,9682.16,-3.18,-8.19,-4.81,2025-07-04T09:40:03.127217
rsi_sma,5,30,35,65,9664.81,-3.35,-8.95,-4.81,2025-07-04T09:40:03.174248
