strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,5,10,40,60,9683.35,-3.17,-1.15,-8.12,2025-07-04T09:40:51.125890
rsi_sma,5,10,40,65,8924.07,-10.76,-5.37,-10.76,2025-07-04T09:40:51.175202
rsi_sma,5,10,40,70,9045.5,-9.55,-4.45,-9.6,2025-07-04T09:40:51.223251
rsi_sma,5,10,35,60,9484.75,-5.15,-3.66,-7.14,2025-07-04T09:40:51.270702
rsi_sma,5,10,35,65,9286.36,-7.14,-5.99,-7.14,2025-07-04T09:40:51.318183
rsi_sma,5,10,35,70,9765.45,-2.35,-1.78,-2.57,2025-07-04T09:40:51.365763
rsi_sma,5,10,30,60,9585.43,-4.15,-3.15,-6.0,2025-07-04T09:40:51.413541
rsi_sma,5,10,30,65,9400.28,-6.0,-5.3,-6.0,2025-07-04T09:40:51.461200
rsi_sma,5,10,30,70,9877.76,-1.22,-0.93,-2.57,2025-07-04T09:40:51.509550
rsi_sma,5,15,40,60,8761.79,-12.38,-3.93,-16.77,2025-07-04T09:40:51.557324
rsi_sma,5,15,40,65,9172.28,-8.28,-3.21,-12.25,2025-07-04T09:40:51.605800
rsi_sma,5,15,40,70,9311.62,-6.88,-2.72,-10.92,2025-07-04T09:40:51.654770
rsi_sma,5,15,35,60,9075.18,-9.25,-3.09,-13.79,2025-07-04T09:40:51.703680
rsi_sma,5,15,35,65,9298.49,-7.02,-2.52,-11.94,2025-07-04T09:40:51.751831
rsi_sma,5,15,35,70,9439.74,-5.6,-2.03,-10.6,2025-07-04T09:40:51.799600
rsi_sma,5,15,30,60,9053.12,-9.47,-3.19,-13.35,2025-07-04T09:40:51.847757
rsi_sma,5,15,30,65,9391.69,-6.08,-2.18,-11.06,2025-07-04T09:40:51.895541
rsi_sma,5,15,30,70,9534.36,-4.66,-1.68,-9.71,2025-07-04T09:40:51.943799
rsi_sma,5,20,40,60,9683.1,-3.17,-1.21,-8.38,2025-07-04T09:40:51.991460
rsi_sma,5,20,40,65,9978.44,-0.22,0.04,-6.03,2025-07-04T09:40:52.040277
rsi_sma,5,20,40,70,10139.13,1.39,0.63,-5.94,2025-07-04T09:40:52.087992
rsi_sma,5,20,35,60,9687.48,-3.13,-1.2,-8.1,2025-07-04T09:40:52.138698
rsi_sma,5,20,35,65,9982.95,-0.17,0.05,-5.75,2025-07-04T09:40:52.187699
rsi_sma,5,20,35,70,10113.44,1.13,0.54,-5.94,2025-07-04T09:40:52.235786
rsi_sma,5,20,30,60,9724.97,-2.75,-1.05,-7.75,2025-07-04T09:40:52.283585
rsi_sma,5,20,30,65,10069.83,0.7,0.38,-4.92,2025-07-04T09:40:52.332415
rsi_sma,5,20,30,70,10201.46,2.01,0.88,-5.12,2025-07-04T09:40:52.380079
rsi_sma,5,30,40,60,9879.04,-1.21,-0.44,-6.74,2025-07-04T09:40:52.427773
rsi_sma,5,30,40,65,10231.18,2.31,1.05,-3.92,2025-07-04T09:40:52.475552
